"Series";"V";"A";"Time";"Concentration"
"20220623_1_3Spp_C";0.017341610478;0.1706851425;30;3226.05273420623
"20220623_1_3Spp_C";0.017341610478;0.1706851425;45;3926.30747798971
"20220623_1_Clover_A";0.017341610478;0.1706851425;0;510.630755603324
"20220623_1_Clover_A";0.017341610478;0.1706851425;15;1225.38655632374
"20220623_1_Clover_A";0.017341610478;0.1706851425;30;1339.21256495896
"20220623_1_Clover_A";0.017341610478;0.1706851425;45;1183.0616638735
"20220623_1_Clover_B";0.017341610478;0.1706851425;0;2713.77860350968
"20220623_1_Clover_B";0.017341610478;0.1706851425;15;1060.88809967764
"20220623_1_Clover_B";0.017341610478;0.1706851425;30;2175.08782288829
"20220623_1_Clover_B";0.017341610478;0.1706851425;45;2166.77481936204
"20220623_1_Clover_C";0.017341610478;0.1706851425;0;739.809270955998
"20220623_1_Clover_C";0.017341610478;0.1706851425;15;2463.24531127165
"20220623_1_Clover_C";0.017341610478;0.1706851425;30;1173.38601449063
"20220623_1_Clover_C";0.017341610478;0.1706851425;45;4463.98653185385
"20220623_1_Clover_D";0.017341610478;0.1706851425;0;725.008583095754
"20220623_1_Clover_D";0.017341610478;0.1706851425;15;942.619725182201
"20220623_1_Clover_D";0.017341610478;0.1706851425;30;1010.88428751992
"20220623_1_Clover_D";0.017341610478;0.1706851425;45;1022.88518084275
"20220623_1_Trit_A";0.017341610478;0.1706851425;0;727.768966718932
"20220623_1_Trit_A";0.017341610478;0.1706851425;15;1188.28954864076
"20220623_1_Trit_A";0.017341610478;0.1706851425;30;1298.48219490868
"20220623_1_Trit_A";0.017341610478;0.1706851425;45;1494.12229218373
"20220623_1_Trit_B";0.017341610478;0.1706851425;0;718.607008909985
"20220623_1_Trit_B";0.017341610478;0.1706851425;15;1634.13928276912
"20220623_1_Trit_B";0.017341610478;0.1706851425;30;2440.05603730991
"20220623_1_Trit_B";0.017341610478;0.1706851425;45;2981.57900500097
"20220623_1_Trit_C";0.017341610478;0.1706851425;0;207.062250064585
"20220623_1_Trit_C";0.017341610478;0.1706851425;15;1822.28374808168
"20220623_1_Trit_C";0.017341610478;0.1706851425;30;1356.43027560054
"20220623_1_Trit_C";0.017341610478;0.1706851425;45;3893.87310538625
"20220623_2_3Spp_A";0.017341610478;0.1706851425;0;868.130127959469
"20220623_2_3Spp_A";0.017341610478;0.1706851425;15;3222.09355695206
"20220623_2_3Spp_A";0.017341610478;0.1706851425;30;5574.61470844624
"20220623_2_3Spp_A";0.017341610478;0.1706851425;45;6111.25477183848
"20220623_2_3Spp_B";0.017341610478;0.1706851425;0;600.634216271323
"20220623_2_3Spp_B";0.017341610478;0.1706851425;15;1898.19186827916
"20220623_2_3Spp_B";0.017341610478;0.1706851425;30;2569.58945477058
"20220623_2_3Spp_B";0.017341610478;0.1706851425;45;3184.49527483252
"20220623_2_3Spp_C";0.017341610478;0.1706851425;0;731.695751440854
"20220623_2_3Spp_C";0.017341610478;0.1706851425;15;2136.84978825683
"20220623_2_3Spp_C";0.017341610478;0.1706851425;30;3400.21145378238
"20220623_2_3Spp_C";0.017341610478;0.1706851425;45;4337.26478619242
"20220623_2_Clover_A";0.017341610478;0.1706851425;0;751.43792009573
"20220623_2_Clover_A";0.017341610478;0.1706851425;15;2375.78466438522
"20220623_2_Clover_A";0.017341610478;0.1706851425;30;2348.82732910958
"20220623_2_Clover_A";0.017341610478;0.1706851425;45;5858.47829674219
"20220623_2_Clover_B";0.017341610478;0.1706851425;0;735.24111409554
"20220623_2_Clover_B";0.017341610478;0.1706851425;15;3052.18041860271
"20220623_2_Clover_B";0.017341610478;0.1706851425;30;4850.81518265958
"20220623_2_Clover_B";0.017341610478;0.1706851425;45;6127.2769281023
"20220623_2_Clover_C";0.017341610478;0.1706851425;0;913.756359321458
"20220623_2_Clover_C";0.017341610478;0.1706851425;15;1922.76052423919
"20220623_2_Clover_C";0.017341610478;0.1706851425;30;1770.05591864728
"20220623_2_Clover_C";0.017341610478;0.1706851425;45;3418.11156710335
"20220623_2_Clover_D";0.017341610478;0.1706851425;0;620.358029157925
"20220623_2_Clover_D";0.017341610478;0.1706851425;15;1693.97314871342
"20220623_2_Clover_D";0.017341610478;0.1706851425;30;1972.57295051886
"20220623_2_Clover_D";0.017341610478;0.1706851425;45;2009.20539530183
"20220623_2_Trit_A";0.017341610478;0.1706851425;0;567.401367747918
"20220623_2_Trit_A";0.017341610478;0.1706851425;15;2241.57700452098
"20220623_2_Trit_A";0.017341610478;0.1706851425;30;3793.78288011358
"20220623_2_Trit_A";0.017341610478;0.1706851425;45;5087.5786793762
"20220623_2_Trit_B";0.017341610478;0.1706851425;0;729.809426312869
"20220623_2_Trit_B";0.017341610478;0.1706851425;15;8257.04975183306
"20220623_2_Trit_B";0.017341610478;0.1706851425;30;4074.0781610445
"20220623_2_Trit_B";0.017341610478;0.1706851425;45;12487.0636675184
"20220623_2_Trit_C";0.017341610478;0.1706851425;0;757.368992750578
"20220623_2_Trit_C";0.017341610478;0.1706851425;15;4206.62300425328
"20220623_2_Trit_C";0.017341610478;0.1706851425;30;266.33248594775
"20220623_2_Trit_C";0.017341610478;0.1706851425;45;7704.56515122884
"20220623_3_3Spp_A";0.017341610478;0.1706851425;0;515.042078620142
"20220623_3_3Spp_A";0.017341610478;0.1706851425;15;2218.47815971177
