Series;f0;f0.se;f0.p;f0.lo95;f0.up95;Method;Warning;Prefilter;Prefilter.p;SatCrit.Warning;LR.f0;LR.f0.se;LR.f0.p;LR.f0.lo95;LR.f0.up95;LR.Warning
20220629_3_Clover_D;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;1.442e-01;NA;1.435e+00;1.235e+00;3.650e-01;-3.877e+00;6.747e+00;None
20220629_3_Trit_A;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220629_3_Trit_B;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220629_3_Trit_C;5.345e+00;2.869e-01;3.414e-02;1.700e+00;8.990e+00;HMR;None;Signal;3.894e-04;NA;4.139e+00;2.349e-01;3.206e-03;3.128e+00;5.150e+00;None
20220629_4_3Spp_A;1.050e+01;2.122e+00;1.269e-01;-1.646e+01;3.747e+01;HMR;None;Signal;8.041e-10;NA;6.442e+00;7.976e-01;1.498e-02;3.010e+00;9.874e+00;None
20220629_4_3Spp_B;1.213e+01;1.122e+00;5.872e-02;-2.127e+00;2.639e+01;HMR;None;Signal;2.286e-12;NA;7.248e+00;8.747e-01;1.426e-02;3.484e+00;1.101e+01;None
20220629_4_3Spp_C;9.880e+00;7.817e-01;5.026e-02;-5.241e-02;1.981e+01;HMR;None;Signal;5.079e-11;NA;6.890e+00;5.589e-01;6.517e-03;4.485e+00;9.295e+00;None
20220629_4_Clover_A;5.482e+00;1.429e+00;6.176e-02;-6.684e-01;1.163e+01;LR;None;Signal;6.970e-08;NA;5.482e+00;1.429e+00;6.176e-02;-6.684e-01;1.163e+01;None
20220629_4_Clover_B;7.434e+00;2.571e-01;2.201e-02;4.167e+00;1.070e+01;HMR;None;Signal;6.482e-08;NA;5.838e+00;3.131e-01;2.863e-03;4.491e+00;7.185e+00;None
20220629_4_Clover_C;5.080e+00;2.147e+00;1.416e-01;-4.158e+00;1.432e+01;LR;None;Signal;4.412e-08;NA;5.080e+00;2.147e+00;1.416e-01;-4.158e+00;1.432e+01;None
20220629_4_Clover_D;1.470e+01;2.102e+01;6.114e-01;-2.523e+02;2.817e+02;HMR;None;Signal;3.532e-02;NA;2.041e+00;1.404e+00;2.833e-01;-4.001e+00;8.083e+00;None
20220629_4_Trit_A;2.501e+01;1.368e+02;8.849e-01;-1.713e+03;1.763e+03;HMR;None;Signal;2.302e-04;NA;1.894e+00;2.711e+00;5.572e-01;-9.772e+00;1.356e+01;None
20220629_4_Trit_B;1.119e+01;2.117e+00;3.397e-02;2.083e+00;2.030e+01;LR;None;Signal;0.000e+00;NA;1.119e+01;2.117e+00;3.397e-02;2.083e+00;2.030e+01;None
20220629_4_Trit_C;9.587e+00;2.821e-01;1.873e-02;6.002e+00;1.317e+01;HMR;None;Signal;7.661e-15;NA;8.050e+00;3.074e-01;1.455e-03;6.727e+00;9.372e+00;None
20220630_1_3Spp_A;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220630_1_3Spp_B;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220630_1_3Spp_C;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220630_1_Clover_A;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220630_1_Clover_B;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220630_1_Clover_C;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220630_1_Clover_D;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220630_1_Trit_A;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220630_1_Trit_B;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220630_1_Trit_C;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
